K,normalized_K,inverse_K,alpha,thetas,weights,seed
9,0.6991196487441605,3.2973241205016186,0.3,[0],[1],0
124,9.6323151604751,0.0005258934000499279,0.3,[3],[1],0
206,16.002071960144118,9.684546076904637e-05,0.3,[10],[1],0
156,12.11807391156545,0.00024465532710304065,0.3,"[0, 3, 10]","[1, 1, 1]",0
17,1.3205593365167476,0.395798004002463,0.3,[0],[1],1
48,3.7286381266355226,0.012440348491507163,0.3,[3],[1],1
177,13.74935309196849,0.00016059269382258178,0.3,[10],[1],1
23,1.786639102346188,0.14450311782565922,0.3,"[0, 3, 10]","[1, 1, 1]",1
3,0.23303988291472016,128.40023599085825,0.3,[0],[1],2
94,7.301916331327899,0.00132396699571758,0.3,[3],[1],2
183,14.21543285779793,0.00014370317774376262,0.3,[10],[1],2
169,13.127913404195903,0.00018736177364325244,0.3,"[0, 3, 10]","[1, 1, 1]",2
4,0.31071984388629353,49.21566601151847,0.3,[0],[1],3
43,3.340238321777656,0.017950442230363003,0.3,[3],[1],3
194,15.069912428485237,0.00011829441418550569,0.3,[10],[1],3
14,1.0875194536020274,0.7560372935188074,0.3,"[0, 3, 10]","[1, 1, 1]",3
42,3.262558360806082,0.019415073381140933,0.3,[0],[1],4
92,7.146556409384752,0.0014223634369061493,0.3,[3],[1],4
187,14.526152701684223,0.00013371023411375455,0.3,[10],[1],4
70,5.437597268010137,0.0035370663311991035,0.3,"[0, 3, 10]","[1, 1, 1]",4
29,2.2527188681756285,0.06672829241413494,0.3,[0],[1],5
83,6.447436760640591,0.002004670639608852,0.3,[3],[1],5
205,15.924391999172546,9.84291649835984e-05,0.3,[10],[1],5
204,15.846712038200971,0.00010004670262678558,0.3,"[0, 3, 10]","[1, 1, 1]",5
10,0.7767996097157339,2.3207944168063888,0.3,[0],[1],6
115,8.93319551173094,0.000676047487598866,0.3,[3],[1],6
182,14.137752896826356,0.0001463520166173706,0.3,[10],[1],6
178,13.827033052940063,0.00015760500193297996,0.3,"[0, 3, 10]","[1, 1, 1]",6
8,0.6214396877725871,4.882812499999998,0.3,[0],[1],7
71,5.51527722898171,0.003373718494643336,0.3,[3],[1],7
165,12.81719356030961,0.00020293495379613153,0.3,[10],[1],7
72,5.592957189953284,0.0032200430864273606,0.3,"[0, 3, 10]","[1, 1, 1]",7
8,0.6214396877725871,4.882812499999998,0.3,[0],[1],8
44,3.417918282749229,0.016626254195115996,0.3,[3],[1],8
129,10.020714965332967,0.0004609682037037756,0.3,[10],[1],8
99,7.690316136185766,0.0011139166333402168,0.3,"[0, 3, 10]","[1, 1, 1]",8
25,1.9419990242893348,0.10943846058730855,0.3,[0],[1],9
68,5.2822373460669905,0.003895892474602174,0.3,[3],[1],9
143,11.108234418934995,0.0003269765040248964,0.3,[10],[1],9
14,1.0875194536020274,0.7560372935188074,0.3,"[0, 3, 10]","[1, 1, 1]",9
24,1.8643190633177613,0.12539085545982248,0.3,[0],[1],10
115,8.93319551173094,0.000676047487598866,0.3,[3],[1],10
182,14.137752896826356,0.0001463520166173706,0.3,[10],[1],10
1,0.07767996097157338,5000.0,0.3,"[0, 3, 10]","[1, 1, 1]",10
5,0.38839980485786696,23.39214190570292,0.3,[0],[1],11
69,5.359917307038564,0.003710846886045888,0.3,[3],[1],11
141,10.952874496991848,0.0003426938380487363,0.3,[10],[1],11
81,6.292076838697445,0.002174469271128354,0.3,"[0, 3, 10]","[1, 1, 1]",11
6,0.46607976582944033,12.738916855303339,0.3,[0],[1],12
125,9.709995121446674,0.0005119999999999997,0.3,[3],[1],12
246,19.109270399007055,5.360265656379689e-05,0.3,[10],[1],12
6,0.46607976582944033,12.738916855303339,0.3,"[0, 3, 10]","[1, 1, 1]",12
38,2.9518385169197887,0.02710345664724279,0.3,[0],[1],13
56,4.35007781440811,0.007441775786014798,0.3,[3],[1],13
144,11.185914379906569,0.0003194687364236075,0.3,[10],[1],13
78,6.059036955782725,0.0024659711726882933,0.3,"[0, 3, 10]","[1, 1, 1]",13
26,2.0196789852609083,0.09602673833340399,0.3,[0],[1],14
67,5.204557385095417,0.004093115458002039,0.3,[3],[1],14
165,12.81719356030961,0.00020293495379613153,0.3,[10],[1],14
13,1.0098394926304541,0.9678888718320209,0.3,"[0, 3, 10]","[1, 1, 1]",14
13,1.0098394926304541,0.9678888718320209,0.3,[0],[1],15
100,7.767996097157339,0.001077217345015941,0.3,[3],[1],15
166,12.894873521281182,0.00019888851763530345,0.3,[10],[1],15
39,3.0295184778913624,0.02485543191123141,0.3,"[0, 3, 10]","[1, 1, 1]",15
9,0.6991196487441605,3.2973241205016186,0.3,[0],[1],16
87,6.758156604526885,0.001713585698648385,0.3,[3],[1],16
173,13.438633248082196,0.00017330708886589412,0.3,[10],[1],16
174,13.51631320905377,0.00017000923379200677,0.3,"[0, 3, 10]","[1, 1, 1]",16
15,1.1651994145736009,0.60071130820478,0.3,[0],[1],17
77,5.981356994811151,0.002574349972076794,0.3,[3],[1],17
190,14.759192584598944,0.00012680158080547412,0.3,[10],[1],17
11,0.8544795706873073,1.689122137575541,0.3,"[0, 3, 10]","[1, 1, 1]",17
13,1.0098394926304541,0.9678888718320209,0.3,[0],[1],18
